Group,val/core_auc_mean,val/core_auc_std,val/core_auc_count,val/core_auc_image_level_cspca_mean,val/core_auc_image_level_cspca_std,val/core_auc_image_level_cspca_count
prostnfound_prompt_abl_family_history,0.7149101240514867,0.034251584137265846,5,0.7165214028518367,0.050049384837883355,5
prostnfound_prompt_abl_,0.7174891156720774,0.037653685157844466,5,0.720502309444521,0.05320478035719335,5
prostnfound_prompt_abl_pos,0.7205064163326667,0.025338547622484338,5,0.7200904648361753,0.052154189685861496,5
prostnfound_prompt_abl_age,0.7419110501280829,0.04354893018655609,5,0.7745948616480223,0.05466673127335642,5
"prostnfound_prompt_abl_age,pos",0.7478700075744411,0.03486092318088287,5,0.765848100943052,0.06372647940963856,5
prostnfound_prompt_abl_psa,0.7501464695629035,0.042687549487736245,5,0.7526738211343009,0.07309059985105945,5
prostnfound_prompt_abl_psad,0.7587313001247469,0.04532151820780645,5,0.74319288953062,0.06905009513734602,5
"prostnfound_prompt_abl_age,psa",0.766830909214788,0.033381312909054356,5,0.7833402779962257,0.06239398487190107,5
"prostnfound_prompt_abl_age,psa,psad,pos",0.7745694052022221,0.03486360380407922,5,0.788956751044816,0.05768539861534984,5
"prostnfound_prompt_abl_age,psa,psad",0.7748243264143737,0.037460417165139884,5,0.7807938544602913,0.0627343178891879,5
"prostnfound_prompt_abl_age,psad",0.7758333873233225,0.034942146360748806,5,0.7803724941328272,0.06642171576280194,5
